PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_cat
1,0,3,male,22,1,0,7.25,S,2
2,1,1,female,38,1,0,71.2833,C,3
3,1,3,female,26,0,0,7.925,S,3
4,1,1,female,35,1,0,53.1,S,3
5,0,3,male,35,0,0,8.05,S,3
7,0,1,male,54,0,0,51.8625,S,4
8,0,3,male,2,3,1,21.075,S,1
9,1,3,female,27,0,2,11.1333,S,3
10,1,2,female,14,1,0,30.0708,C,1
11,1,3,female,4,1,1,16.7,S,1
12,1,1,female,58,0,0,26.55,S,4
13,0,3,male,20,0,0,8.05,S,2
14,0,3,male,39,1,5,31.275,S,3
15,0,3,female,14,0,0,7.8542,S,1
16,1,2,female,55,0,0,16,S,4
17,0,3,male,2,4,1,29.125,Q,1
19,0,3,female,31,1,0,18,S,3
21,0,2,male,35,0,0,26,S,3
22,1,2,male,34,0,0,13,S,3
23,1,3,female,15,0,0,8.0292,Q,1
24,1,1,male,28,0,0,35.5,S,3
25,0,3,female,8,3,1,21.075,S,1
26,1,3,female,38,1,5,31.3875,S,3
28,0,1,male,19,3,2,263,S,2
31,0,1,male,40,0,0,27.7208,C,3
34,0,2,male,66,0,0,10.5,S,4
35,0,1,male,28,1,0,82.1708,C,3
36,0,1,male,42,1,0,52,S,4
38,0,3,male,21,0,0,8.05,S,2
39,0,3,female,18,2,0,18,S,2
40,1,3,female,14,1,0,11.2417,C,1
41,0,3,female,40,1,0,9.475,S,3
42,0,2,female,27,1,0,21,S,3
44,1,2,female,3,1,2,41.5792,C,1
45,1,3,female,19,0,0,7.8792,Q,2
50,0,3,female,18,1,0,17.8,S,2
51,0,3,male,7,4,1,39.6875,S,1
52,0,3,male,21,0,0,7.8,S,2
53,1,1,female,49,1,0,76.7292,C,4
54,1,2,female,29,1,0,26,S,3
55,0,1,male,65,0,1,61.9792,C,4
57,1,2,female,21,0,0,10.5,S,2
58,0,3,male,28.5,0,0,7.2292,C,3
59,1,2,female,5,1,2,27.75,S,1
60,0,3,male,11,5,2,46.9,S,1
61,0,3,male,22,0,0,7.2292,C,2
63,0,1,male,45,1,0,83.475,S,4
64,0,3,male,4,3,2,27.9,S,1
67,1,2,female,29,0,0,10.5,S,3
68,0,3,male,19,0,0,8.1583,S,2
69,1,3,female,17,4,2,7.925,S,2
70,0,3,male,26,2,0,8.6625,S,3
71,0,2,male,32,0,0,10.5,S,3
72,0,3,female,16,5,2,46.9,S,2
73,0,2,male,21,0,0,73.5,S,2
74,0,3,male,26,1,0,14.4542,C,3
75,1,3,male,32,0,0,56.4958,S,3
76,0,3,male,25,0,0,7.65,S,2
79,1,2,male,0.83,0,2,29,S,1
80,1,3,female,30,0,0,12.475,S,3
81,0,3,male,22,0,0,9,S,2
82,1,3,male,29,0,0,9.5,S,3
84,0,1,male,28,0,0,47.1,S,3
85,1,2,female,17,0,0,10.5,S,2
86,1,3,female,33,3,0,15.85,S,3
87,0,3,male,16,1,3,34.375,S,2
89,1,1,female,23,3,2,263,S,2
90,0,3,male,24,0,0,8.05,S,2
91,0,3,male,29,0,0,8.05,S,3
92,0,3,male,20,0,0,7.8542,S,2
93,0,1,male,46,1,0,61.175,S,4
94,0,3,male,26,1,2,20.575,S,3
95,0,3,male,59,0,0,7.25,S,4
97,0,1,male,71,0,0,34.6542,C,4
98,1,1,male,23,0,1,63.3583,C,2
99,1,2,female,34,0,1,23,S,3
100,0,2,male,34,1,0,26,S,3
101,0,3,female,28,0,0,7.8958,S,3
103,0,1,male,21,0,1,77.2875,S,2
104,0,3,male,33,0,0,8.6542,S,3
105,0,3,male,37,2,0,7.925,S,3
106,0,3,male,28,0,0,7.8958,S,3
107,1,3,female,21,0,0,7.65,S,2
109,0,3,male,38,0,0,7.8958,S,3
111,0,1,male,47,0,0,52,S,4
112,0,3,female,14.5,1,0,14.4542,C,1
113,0,3,male,22,0,0,8.05,S,2
114,0,3,female,20,1,0,9.825,S,2
115,0,3,female,17,0,0,14.4583,C,2
116,0,3,male,21,0,0,7.925,S,2
117,0,3,male,70.5,0,0,7.75,Q,4
118,0,2,male,29,1,0,21,S,3
119,0,1,male,24,0,1,247.5208,C,2
120,0,3,female,2,4,2,31.275,S,1
121,0,2,male,21,2,0,73.5,S,2
123,0,2,male,32.5,1,0,30.0708,C,3
124,1,2,female,32.5,0,0,13,S,3
125,0,1,male,54,0,1,77.2875,S,4
126,1,3,male,12,1,0,11.2417,C,1
128,1,3,male,24,0,0,7.1417,S,2
130,0,3,male,45,0,0,6.975,S,4
131,0,3,male,33,0,0,7.8958,C,3
132,0,3,male,20,0,0,7.05,S,2
133,0,3,female,47,1,0,14.5,S,4
134,1,2,female,29,1,0,26,S,3
135,0,2,male,25,0,0,13,S,2
136,0,2,male,23,0,0,15.0458,C,2
137,1,1,female,19,0,2,26.2833,S,2
138,0,1,male,37,1,0,53.1,S,3
139,0,3,male,16,0,0,9.2167,S,2
140,0,1,male,24,0,0,79.2,C,2
142,1,3,female,22,0,0,7.75,S,2
143,1,3,female,24,1,0,15.85,S,2
144,0,3,male,19,0,0,6.75,Q,2
145,0,2,male,18,0,0,11.5,S,2
146,0,2,male,19,1,1,36.75,S,2
147,1,3,male,27,0,0,7.7958,S,3
148,0,3,female,9,2,2,34.375,S,1
149,0,2,male,36.5,0,2,26,S,3
150,0,2,male,42,0,0,13,S,4
151,0,2,male,51,0,0,12.525,S,4
152,1,1,female,22,1,0,66.6,S,2
153,0,3,male,55.5,0,0,8.05,S,4
154,0,3,male,40.5,0,2,14.5,S,4
156,0,1,male,51,0,1,61.3792,C,4
157,1,3,female,16,0,0,7.7333,Q,2
158,0,3,male,30,0,0,8.05,S,3
